Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1115,619,0,0,42,2,0.0,1,1,1,101348.88,1
1177,608,2,0,41,1,83807.86,1,0,1,112542.58,0
2040,502,0,0,42,8,159660.8,3,1,0,113931.57,1
289,699,0,0,39,1,0.0,2,0,0,93826.63,0
1822,850,2,0,43,2,125510.82,1,1,1,79084.1,0
537,645,2,1,44,8,113755.78,2,1,0,149756.71,1
177,822,0,1,50,7,0.0,2,1,1,10062.8,0
2000,376,1,0,29,4,115046.74,4,1,0,119346.88,1
1146,501,0,1,44,4,142051.07,2,0,1,74940.5,0
1081,684,0,1,27,2,134603.88,1,1,1,71725.73,0
195,528,0,1,31,6,102016.72,2,0,0,80181.12,0
83,497,2,1,24,3,0.0,2,1,0,76390.01,0
1369,476,0,0,34,10,0.0,2,1,0,26260.98,0
515,549,0,0,25,5,0.0,2,0,0,190857.79,0
2389,635,2,0,35,7,0.0,2,1,1,65951.65,0
1021,616,1,1,45,3,143129.41,2,0,1,64327.26,0
2307,653,1,1,58,1,132602.88,1,1,0,5097.67,1
1154,549,2,0,24,9,0.0,2,1,1,14406.41,0
1872,587,2,1,45,6,0.0,1,0,0,158684.81,0
1108,726,0,0,24,6,0.0,2,1,1,54724.03,0
1736,732,0,1,41,8,0.0,2,1,1,170886.17,0
697,636,2,0,32,8,0.0,2,1,0,138555.46,0
991,510,2,0,38,4,0.0,1,1,0,118913.53,1
1862,669,0,1,46,3,0.0,2,0,1,8487.75,0
2880,846,0,0,38,5,0.0,1,1,1,187616.16,0
1642,577,0,1,25,3,0.0,2,0,1,124508.29,0
2897,756,1,1,36,2,136815.64,1,1,1,170041.95,0
1908,571,0,1,44,9,0.0,2,0,0,38433.35,0
1772,574,1,0,43,3,141349.43,1,1,1,100187.43,0
1609,411,0,1,29,0,59697.17,2,1,1,53483.21,0
133,591,2,0,39,3,0.0,3,1,0,140469.38,1
2007,533,0,1,36,7,85311.7,1,0,1,156731.91,0
2364,553,1,1,41,9,110112.54,2,0,0,81898.81,0
